FullPath,FamilyName,FileHashes
C:\Windows\def1.bat,EMBARGO,"{""md5"":""a0ee6fea27e7e903232489dab93cd989"",""sha1"":""f27073a0c52f3860e400428df4bdfb2849b5d12f"",""sha256"":""821f084b72578a2c82c9c9812580974d07f414c1fc4ee83fc2f725fa324d5ee1""}"
C:\Windows\def2.bat,EMBARGO,"{""md5"":""a0ee6fea27e7e903232489dab93cd989"",""sha1"":""f27073a0c52f3860e400428df4bdfb2849b5d12f"",""sha256"":""821f084b72578a2c82c9c9812580974d07f414c1fc4ee83fc2f725fa324d5ee1""}"
C:\Windows\rgsvc.exe,EMBARGO,"{""md5"":""c06609a6b5747452b5e079e63f015d3c"",""sha1"":""326018a304ef232860e2fb9a3a6d6facb3530b49"",""sha256"":""184e89325b1d804455ce5191c22ea7e4dc29a2d40922c7f665bf3504970a9061""}"
C:\users\user\Downloads\RevoUninProSetup.exe,EMBARGO,"{""md5"":""cfa5dd4880cc8c0eb30ea6610af45ad3"",""sha1"":""37dedcedd352d6cfb0ea5dbb7069d017abe034e7"",""sha256"":""ac566d6b2caa415b1a9ed0774a3faf30385d5121578365a0c4b12e3dfd65b2a2""}"
C:\users\user\Downloads\Advanced_IP_Scanner_2.5.4594.1.exe,Fog,"{""md5"":""5537c708edb9a2c21f88e34e8a0f1744"",""sha1"":""86233a285363c2a6863bf642deab7e20f062b8eb"",""sha256"":""26d5748ffe6bd95e3fee6ce184d388a1a681006dc23a0f08d53c083c593c193b""}"
C:\users\user\Downloads\Advanced_Port_Scanner_2.5.3869.exe,Fog,"{""md5"":""6a58b52b184715583cda792b56a0a1ed"",""sha1"":""3477a173e2c1005a81d042802ab0f22cc12a4d55"",""sha256"":""d0c1662ce239e4d288048c0e3324ec52962f6ddda77da0cb7af9c1d9c2f1e2eb""}"
C:\users\user\Desktop\mimikatz_trunk\Win32\mimilib.dll,Hunters International,"{""md5"":""46e598798bdde4c72e796edcf2317b52"",""sha1"":""e00efa11ab8464e665f2a1d526e94cca5c71d9fa"",""sha256"":""e60c210687e79347d06f9a144ee84417ba9ac4c1f303720f2fe4509734d670d6""}"
C:\users\user\Downloads\OSRLOADER.exe,Hunters International,"{""md5"":""5b547c300db2a5b09bc3ad69fecee4f2"",""sha1"":""41567fe6c2213885d3ce3f60251f18dd3d1515c2"",""sha256"":""111bf1e3a267d4e03cfc696c26b8ed3cff293f27ea4c64f7c8eec8087f8af221""}"
C:\users\user\Downloads\t\OSRLOADER.exe,Hunters International,"{""md5"":""5b547c300db2a5b09bc3ad69fecee4f2"",""sha1"":""41567fe6c2213885d3ce3f60251f18dd3d1515c2"",""sha256"":""111bf1e3a267d4e03cfc696c26b8ed3cff293f27ea4c64f7c8eec8087f8af221""}"
C:\users\user\AppData\Local\temp\deleter.dll,Hunters International,"{""md5"":""67fc5d05496d3b33288f516f670842dc"",""sha1"":""0e66080d1381cdb3f2226253137055a922f84cef"",""sha256"":""47c937b43c4853ad4a22cfe81ed001b5b4c3340b45f737fe0d4b6098bafbea5d""}"
C:\users\user\AppData\Local\temp\Erher.sys,Hunters International,"{""md5"":""6dc2942a78910b41fb67fee9a1500e7c"",""sha1"":""926350bb1a1c0bcfdbe0e447050bcdd230c8cf9e"",""sha256"":""f0e2e3dc0880e16108bad1eed7016f71a88a6a1071ed906267ea658de14f41d6""}"
C:\users\user\Desktop\encrypter_windows_x64.exe,Hunters International,"{""md5"":""a1f11ace4e1e7fb968b9aac1aaacace4"",""sha1"":""c6563a43a783ec2612919147a6c4b529ba49b7fc"",""sha256"":""bbdd65d78e6f71f499cb89ec9c006cfcc84ed162f373ba84467e4cdb303017c2""}"
C:\users\user\Downloads\FileZilla_3.67.1_win64_sponsored2-setup.exe,Hunters International,"{""md5"":""b209df2951e29ab5eab4009579b10b8d"",""sha1"":""99ed6135defff6e675d626f742389d6280abdb60"",""sha256"":""76491df69a26019139ac11117cd21bf5d0257a5ebd3d67837f558c8c9c3483d8""}"
C:\users\user\Downloads\m45n.exe,Hunters International,"{""md5"":""cad30e5f65dfbbfe01a3c047995ef264"",""sha1"":""248909d5e41482db355b2c3c80027b736552d3b0"",""sha256"":""e07efd0ec26bbd51e4ccc0e4b2719010c1df4c7866f31cf4d560fabd2f6d43a5""}"
C:\users\user\Downloads\t.zip,Hunters International,"{""md5"":""de32dd1be40b7530da7cc5f4edb734a0"",""sha1"":""c01fa77cff3febc23d4967f515a1cc981514ce04"",""sha256"":""0555494ce5590c0523bead73ceee9be6c2702843f39f234b46e373ccc5c18c4f""}"
C:\users\user\AppData\Local\temp\gcapi.dll,Inc Ransom,"{""md5"":""1ce7d5a1566c8c449d0f6772a8c27900"",""sha1"":""60854185f6338e1bfc7497fd41aa44c5c00d8f85"",""sha256"":""73170761d6776c0debacfbbc61b6988cb8270a20174bf5c049768a264bb8ffaf""}"
C:\Windows\temp\gcapi.dll,Inc Ransom,"{""md5"":""1ce7d5a1566c8c449d0f6772a8c27900"",""sha1"":""60854185f6338e1bfc7497fd41aa44c5c00d8f85"",""sha256"":""73170761d6776c0debacfbbc61b6988cb8270a20174bf5c049768a264bb8ffaf""}"
C:\users\user\Desktop\Desktop\!APPS\WinSCP-6.1.1-Setup.exe,Inc Ransom,"{""md5"":""1e31dfc72caed84e44fa9e7eda34f2c6"",""sha1"":""8c4e2b7139c2fc0cffceaf4d1d011f2c315884f4"",""sha256"":""81244062a2de4adc52ae10393b7a3a33985a7e5bea376b839ab0477d6c7fd5e1""}"
C:\users\user\Desktop\Desktop\!APPS\AnyDesk (2).exe,Inc Ransom,"{""md5"":""30c9c57aa570088d745fac7bfd05b805"",""sha1"":""d579d18848859614e219afa6332d410e0ca71fc3"",""sha256"":""8cd552392bb25546ba58e73d63c4b7c290188ca1060f96c8abf641ae9f5a8383""}"
C:\Windows\temp\AnyDesk.exe,Inc Ransom,"{""md5"":""37e172be64b12f3207300d11b74656b8"",""sha1"":""1895d7c4f785f92e48b5191fd812822593cbc73f"",""sha256"":""bc747e3bf7b6e02c09f3d18bdd0e64eef62b940b2f16c9c72e647eec85cf0138""}"
C:\Windows\temp\2.bat,Inc Ransom,"{""md5"":""464d1e206a20f898ebcd2f6bead6551b"",""sha1"":""6516edc4a3e7e8d2ee162ee0c5fcb0220c6c0680"",""sha256"":""dfd01b2a4cc003db0e819f69d97e6efb9331ad6698aa63cddaef34769c63206e""}"
C:\users\user\Downloads\TeamViewer_Setup(1).exe,Inc Ransom,"{""md5"":""4b1c352b22e917bb16b8533c0e1d4f09"",""sha1"":""863f030343d2c17f13b3fedc7cacd217dd9ecd98"",""sha256"":""755b2ea6514a4982a292caf3da6edfd197b9b993b691fc16b3806fbec8ea71fd""}"
C:\Windows\temp\Advanced1.exe,Inc Ransom,"{""md5"":""5537c708edb9a2c21f88e34e8a0f1744"",""sha1"":""86233a285363c2a6863bf642deab7e20f062b8eb"",""sha256"":""26d5748ffe6bd95e3fee6ce184d388a1a681006dc23a0f08d53c083c593c193b""}"
C:\Windows\temp\3.bat,Inc Ransom,"{""md5"":""6865e779402db84c25a8a585bf705437"",""sha1"":""bd35faedf0ba77e49bf41e87f8a9e770b5205d7c"",""sha256"":""32ffdf518da98e65c31877cc1dcbd2a5894341188c9a68f0db4d1efad9e85fd3""}"
C:\Windows\temp\1.bat,Inc Ransom,"{""md5"":""68f0bb81bc4aae995218e530b33b1887"",""sha1"":""00fb067d2831f61f56cbeb84ae627ee526405802"",""sha256"":""15a090b38635ee176c967e27b7b7e257260f02df36b403dc9ab5dee9c8fc7d48""}"
C:\users\user\Desktop\Desktop\Summer 2021 9k Switch Project\putty.exe,Inc Ransom,"{""md5"":""734b3fcc06d0a0eda6b83de9165636ac"",""sha1"":""5429e6a53d49aab342b1d0f82b1b627bf8666677"",""sha256"":""13d8429d500e20be8588f250449f70a6e8f8f34df9423b2897fd33bbb8712c5f""}"
C:\Windows\temp\2.bat,Inc Ransom,"{""md5"":""95a636d99096672f925cc122fff16cb0"",""sha1"":""2b5b1f61020082754ff78163228d41baac210aa4"",""sha256"":""3338eb152efd961f92ffaa7a2ed820e77e8c557b2a61961c56d68f03c689568d""}"
C:\Windows\temp\win.exe,Inc Ransom,"{""md5"":""96df6d892c42d2945bcdbf4efb03c435"",""sha1"":""9f01a39dd55148ab2dd6fb97207b09c5ae5e8059"",""sha256"":""6fe65f4ce9bfd6d20eaf490d08a5cd5f70b25ff9867d0953e68cb6dc190bd9fa""}"
C:\Windows\temp\win.exe,Inc Ransom,"{""md5"":""9e8a53181b8ad155453561d46b657a20"",""sha1"":""1f0b010bfd0022d74e0137fecbb46d15780f90ea"",""sha256"":""9872679f1ff9cd9a4adb83bdcf46c7532729240ef8f302c1b251665847c418f1""}"
C:\Windows\temp\4.bat,Inc Ransom,"{""md5"":""a6bebc2261c70d32e0013f5d3e4deb5a"",""sha1"":""25eaa69687e2d3379cd97c9168c00f8737ba6cdb"",""sha256"":""58647b42acf91bd64a9e2927c3cb45dae82f4b313009650c0a831ea279541adc""}"
C:\users\user\Downloads\putty.exe,Inc Ransom,"{""md5"":""aa8f39dfdf0ca430002ce3820a002324"",""sha1"":""70329e3f10ab96fcd1461d46b3b78d80dd1474e6"",""sha256"":""dcf66ed0d39bb3c1cd154d595bfa39d18148b3e1e68b8f18dd89221cf66ff4ba""}"
